Order_ID,Order_Date,Customer_ID
O0001,01-01-24,C002
O0002,02-01-24,C020
O0003,03-01-24,C028
O0004,04-01-24,C047
O0005,05-01-24,C007
O0006,06-01-24,C044
O0007,07-01-24,C008
O0008,08-01-24,C047
O0009,09-01-24,C035
O0010,10-01-24,C014
O0011,11-01-24,C017
O0012,12-01-24,C036
O0013,13-01-24,C050
O0014,14-01-24,C040
O0015,15-01-24,C004
O0016,16-01-24,C002
O0017,17-01-24,C006
O0018,18-01-24,C042
O0019,19-01-24,C004
O0020,20-01-24,C029
O0021,21-01-24,C018
O0022,22-01-24,C026
O0023,23-01-24,C044
O0024,24-01-24,C034
O0025,25-01-24,C010
O0026,26-01-24,C036
O0027,27-01-24,C014
O0028,28-01-24,C031
O0029,29-01-24,C048
O0030,30-01-24,C015
O0031,31-01-24,C008
O0032,01-02-24,C014
O0033,02-02-24,C023
O0034,03-02-24,C040
O0035,04-02-24,C021
O0036,05-02-24,C016
O0037,06-02-24,C045
O0038,07-02-24,C018
O0039,08-02-24,C047
O0040,09-02-24,C024
O0041,10-02-24,C026
O0042,11-02-24,C025
O0043,12-02-24,C045
O0044,13-02-24,C041
O0045,14-02-24,C029
O0046,15-02-24,C015
O0047,16-02-24,C045
O0048,17-02-24,C001
O0049,18-02-24,C025
O0050,19-02-24,C007
O0051,20-02-24,C009
O0052,21-02-24,C024
O0053,22-02-24,C001
O0054,23-02-24,C044
O0055,24-02-24,C008
O0056,25-02-24,C024
O0057,26-02-24,C011
O0058,27-02-24,C017
O0059,28-02-24,C008
O0060,29-02-24,C035
O0061,01-03-24,C035
O0062,02-03-24,C033
O0063,03-03-24,C005
O0064,04-03-24,C042
O0065,05-03-24,C039
O0066,06-03-24,C041
O0067,07-03-24,C028
O0068,08-03-24,C007
O0069,09-03-24,C009
O0070,10-03-24,C008
O0071,11-03-24,C012
O0072,12-03-24,C034
O0073,13-03-24,C033
O0074,14-03-24,C048
O0075,15-03-24,C023
O0076,16-03-24,C024
O0077,17-03-24,C037
O0078,18-03-24,C035
O0079,19-03-24,C044
O0080,20-03-24,C040
O0081,21-03-24,C022
O0082,22-03-24,C027
O0083,23-03-24,C035
O0084,24-03-24,C001
O0085,25-03-24,C035
O0086,26-03-24,C037
O0087,27-03-24,C047
O0088,28-03-24,C014
O0089,29-03-24,C003
O0090,30-03-24,C001
O0091,31-03-24,C005
O0092,01-04-24,C026
O0093,02-04-24,C014
O0094,03-04-24,C039
O0095,04-04-24,C027
O0096,05-04-24,C009
O0097,06-04-24,C015
O0098,07-04-24,C015
O0099,08-04-24,C026
O0100,09-04-24,C042
O0101,10-04-24,C013
O0102,11-04-24,C032
O0103,12-04-24,C039
O0104,13-04-24,C049
O0105,14-04-24,C032
O0106,15-04-24,C004
O0107,16-04-24,C030
O0108,17-04-24,C037
O0109,18-04-24,C023
O0110,19-04-24,C039
O0111,20-04-24,C045
O0112,21-04-24,C015
O0113,22-04-24,C043
O0114,23-04-24,C029
O0115,24-04-24,C036
O0116,25-04-24,C013
O0117,26-04-24,C032
O0118,27-04-24,C007
O0119,28-04-24,C022
O0120,29-04-24,C028
O0121,30-04-24,C002
O0122,01-05-24,C042
O0123,02-05-24,C045
O0124,03-05-24,C006
O0125,04-05-24,C028
O0126,05-05-24,C028
O0127,06-05-24,C044
O0128,07-05-24,C044
O0129,08-05-24,C020
O0130,09-05-24,C030
O0131,10-05-24,C011
O0132,11-05-24,C028
O0133,12-05-24,C025
O0134,13-05-24,C039
O0135,14-05-24,C033
O0136,15-05-24,C001
O0137,16-05-24,C027
O0138,17-05-24,C013
O0139,18-05-24,C041
O0140,19-05-24,C003
